Entity,Code,Year,Prevalence - Mental and substance use disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Mental and substance use disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent,latitude,longitude,Number of women with mental and substance use disorder,Number of men with mental and substance use disorder
Ethiopia,ETH,2015,12.6004261275,13.1556108453,100835453.0,Africa,10.2116702,38.6521203,13265519.790775385,12705696.765594983
Fiji,FJI,2015,10.9573568995,11.2675693771,868632.0,Oceania,-18.1239696,179.0122737,97873.71323169128,95179.10838326484
Finland,FIN,2015,14.633502687800002,15.2229727858,5481128.0,Europe,63.2467777,25.9209164,834390.6237948638,802081.0132017584
France,FRA,2015,14.2599964494,18.3934609511,64453194.0,Europe,46.603354,1.8883335,11855173.07012673,9191023.175924895
Gabon,GAB,2015,12.5006246978,12.1195598611,1947690.0,Africa,-0.8999695,11.6899699,236051.4554586586,243473.4171765808
Gambia,GMB,2015,11.5726203108,12.8586481827,2085860.0,Africa,13.470062,-15.4900464,268213.3989836662,241388.6580148529
Georgia,GEO,2015,10.7523617771,10.6289505899,4024180.0,Asia,32.3293809,-83.1137366,427728.10384863784,432694.3921617028
Germany,DEU,2015,13.2153473983,17.072228757999998,81787411.0,Europe,51.1638175,10.4478313,13962933.901165655,10808490.491725428
Ghana,GHA,2015,11.7024538316,11.239454944,27849203.0,Africa,8.0300284,-1.0800271,3130098.6234480967,3259040.1235435624
Greece,GRC,2015,14.0569062713,16.9918622933,10659737.0,Europe,38.9953683,21.9877132,1811287.8318679484,1498429.2388570865
Greenland,GRL,2015,16.6953110943,18.932641813,56378.0,North America,77.6192349,-42.8125967,10673.84480133314,9412.482488744454
Grenada,GRD,2015,13.387099164,13.3839964902,109603.0,North America,12.1360374,-61.6904045,14669.261673153907,14672.66229671892
Guam,GUM,2015,11.3863418216,11.3993880128,161851.0,Oceania,13.450125700000001,144.75755102972062,18450.023492596927,18428.908101677815
Guatemala,GTM,2015,10.8826085572,11.4283475956,16252425.0,North America,15.5855545,-90.345759,1857383.6217141931,1768687.7938025119
Guinea,GIN,2015,11.6257070691,11.6709173436,11432096.0,Africa,10.7226226,-10.7083587,1334230.4748010018,1329061.9928182983
Guinea-Bissau,GNB,2015,11.655748636,11.7506277967,1737207.0,Africa,11.815215,-15.2351044,204132.72862821817,202484.4812069965
Guyana,GUY,2015,14.1969302992,14.875920118800002,767433.0,South America,4.8417097,-58.6416891,114162.7200453104,108951.92810305953
Haiti,HTI,2015,13.2106354762,13.7066871512,10695540.0,North America,19.1399952,-72.3570972,1466004.2069314567,1412948.8016111616
Honduras,HND,2015,10.5115199021,10.8294880722,9112904.0,North America,15.2572432,-86.0755145,986880.8517110368,957904.717619267
Hungary,HUN,2015,11.1961392395,11.4713314442,9777925.0,Europe,47.1817585,19.5060937,1121658.185115293,1094750.0977338804
Iceland,ISL,2015,13.0743047795,15.3099955361,330237.0,Europe,64.9841821,-18.1059013,50559.269958550554,43176.19187467742
India,IND,2015,14.4804101245,14.5783401018,1310152392.0,Asia,22.3511148,78.6677428,190998471.55762795,189715439.61754692
Indonesia,IDN,2015,10.1954851712,11.1294165897,258383257.0,Asia,-2.4833826,117.8902853,28756549.06956519,26343426.652298585
Iran,IRN,2015,17.105150435800002,18.4458053382,78492208.0,Asia,32.6475314,54.5643516,14478519.893335046,13426210.258781044
Iraq,IRQ,2015,12.5164021902,14.843672679,35572269.0,Asia,33.0955793,44.1749775,5280231.174853387,4452368.256219836
Ireland,IRL,2015,14.4157378519,16.7425088772,4652420.0,Europe,52.865196,-7.9794599,778931.8315046282,670680.670969366
Israel,ISR,2015,12.3733343445,13.1835390414,7978496.0,Asia,30.8124247,34.8594762,1051848.1350765373,987205.9857425587
Italy,ITA,2015,13.6437713652,16.0188568909,60578489.0,Europe,42.6384261,12.674297,9703981.459579598,8265190.535652832
Jamaica,JAM,2015,13.1066557148,13.3493633708,2891024.0,North America,18.1850507,-77.3947693,385933.298897037,378916.56231223955
Japan,JPN,2015,12.5089275222,12.0465082341,127985139.0,Asia,36.5748441,139.2394179,15417740.30805933,16009568.276696928
Jordan,JOR,2015,13.963559620900002,14.805975515799998,9266573.0,Asia,31.1667049,36.941628,1372006.5295337334,1293943.445669222
Kazakhstan,KAZ,2015,11.2071664332,11.1125831678,17572010.0,Asia,48.1012954,66.7780818,1952704.225504133,1969324.4063585473
Kenya,KEN,2015,11.9436184758,12.657422894100002,47878339.0,Africa,1.4419683,38.4313975,6060163.84190081,5718406.142710157
Kiribati,KIR,2015,11.3053156196,11.3496202503,110927.0,Oceania,0.3448612,173.6641773,12589.793255050281,12540.64745735369
Kuwait,KWT,2015,13.6171704969,14.8287549883,3835588.0,Asia,29.2733964,47.4979476,568769.9468806363,522298.5575186368
Kyrgyzstan,KGZ,2015,11.0162924141,10.9044783257,5959126.0,Asia,41.5089324,74.724091,649811.6030711534,656474.7454846608
Laos,LAO,2015,11.6811042886,12.4588261653,6741160.0,Asia,20.0171109,103.378253,839869.4059247375,787441.9298613877
Latvia,LVA,2015,11.6398247904,11.4527654646,1997675.0,Europe,56.8406494,24.7537645,228789.03249494807,232525.8698816232
Lebanon,LBN,2015,15.1137418878,16.7655585645,6532681.0,Asia,33.8750629,35.843409,1095240.4588869642,987332.5446933518
Lesotho,LSO,2015,14.1474523166,13.8883299189,2059011.0,Africa,-29.6039267,28.3350193,285962.24074644205,291297.5994185488
Liberia,LBR,2015,11.446450719,12.708955075200002,4472229.0,Africa,5.7499721,-9.3658524,568373.5744700662,511911.4885258265
Libya,LBY,2015,14.0471375948,14.9507531677,6418315.0,Africa,26.8234472,18.1236723,959586.4331754643,901589.5393176876
Lithuania,LTU,2015,12.0513658796,12.1495909262,2931872.0,Europe,55.3500003,23.7499997,356210.45447979844,353330.62184154615
Luxembourg,LUX,2015,13.4009371276,15.827308380800002,566741.0,Europe,49.8158683,6.1296751,89699.84579042972,75948.60508633152
Madagascar,MDG,2015,12.2000426011,12.9424463089,24234080.0,Africa,-18.9249604,46.4416422,3136482.792455873,2956568.0839846544
Malawi,MWI,2015,11.8616760346,12.5466978576,16745305.0,Africa,-13.2687204,33.9301963,2100982.8236835855,1986273.8301056754
Malaysia,MYS,2015,11.468539082,12.8761495648,30270965.0,Asia,4.5693754,102.2656823,3897734.728108261,3471637.451523541
Maldives,MDV,2015,10.6838298175,11.7132844427,454914.0,Asia,3.7203503,73.2244152,53285.37078966427,48602.237575981955
Mali,MLI,2015,11.2964385711,11.0948357276,17438772.0,Africa,16.3700359,-2.2900239,1934803.106310705,1969960.1665341868
Malta,MLT,2015,13.2362222186,15.3873917763,433559.0,Europe,35.8885993,14.4476911,66713.42191140851,57386.83268873997
Marshall Islands,MHL,2015,11.0740986318,11.2936827415,57444.0,Oceania,8.9995549,168.0002575,6487.543114027259,6361.405218051193
Mauritania,MRT,2015,11.5869922128,10.9711256483,4046304.0,Africa,20.2540382,-9.2399263,443925.0959521888,468844.92938621494
Mauritius,MUS,2015,10.8459536579,11.8310115208,1259457.0,Africa,-20.2759451,57.5703566,149006.50276952208,136600.12256117762
Mexico,MEX,2015,10.3606088266,11.2488386346,121858251.0,North America,23.6585116,-102.0077097,13707638.01793584,12625256.709046382
Micronesia (country),FSM,2015,11.1121503761,11.2950505422,108886.0,Oceania,14.3113868,121.0698265,12298.728733379892,12099.576058520246
Moldova,MDA,2015,11.5323355796,11.4764423051,4070705.0,Europe,47.2879608,28.5670941,467172.11073582096,469447.36105555616
Mongolia,MNG,2015,11.274133163,11.1198802217,2998433.0,Asia,46.8250388,103.8499736,333422.158127926,338047.3292233358
Montenegro,MNE,2015,10.9953737597,11.3889444694,626957.0,Europe,42.9868853,19.5180992,71403.78457701617,68936.26546260233
Morocco,MAR,2015,15.6031354411,16.9875338023,34663608.0,Africa,31.1728205,-7.3362482,5888492.126096767,5408609.705011975
Mozambique,MOZ,2015,12.3314043243,13.0283980671,27042001.0,Africa,-19.302233,34.9144977,3523139.5355891627,3334658.4806912486
Myanmar,MMR,2015,10.2409596633,10.8129168105,52680724.0,Asia,17.1750495,95.9999652,5696322.861289109,5395011.695174402
Namibia,NAM,2015,12.6667230843,11.4359406472,2314901.0,Africa,-23.2335499,17.3231107,264730.7044014393,293222.09934569156
Nepal,NPL,2015,12.6108582867,13.1294336978,27015033.0,Asia,28.1083929,84.0917139,3546920.8461737903,3406827.5277352394
Netherlands,NLD,2015,14.6403093731,17.319618005099997,16938492.0,Europe,52.2434979,5.6343227,2933682.110224423,2479847.6319377935
New Zealand,NZL,2015,17.1571634364,20.0752746462,4614527.0,Oceania,-41.5000831,172.8344077,926378.9688730534,791721.9392068058
Nicaragua,NIC,2015,10.8884000321,11.0005833495,6223234.0,North America,12.6090157,-85.2936911,684592.0432044227,677610.612853658
Niger,NER,2015,12.0806773309,11.9783294881,20001663.0,Africa,17.7356214,9.3238432,2395865.097239387,2416336.367844013
Nigeria,NGA,2015,11.9399397682,12.2318703518,181137454.0,Africa,9.6000359,7.9999721,22156498.531831365,21627702.90525098
North Korea,PRK,2015,11.9116553135,11.637158948,25183832.0,Asia,40.3736611,127.0870417,2930682.5590372873,2999811.2625709134
North Macedonia,MKD,2015,10.8046875696,11.1471605497,2079335.0,Europe,41.6171214,21.7168387,231786.81081610452,224665.65027534217
Northern Mariana Islands,MNP,2015,11.0898297099,11.0056533333,55779.0,Oceania,15.1753648,145.7379338,6138.843372781407,6185.796113885121
Norway,NOR,2015,14.7491564371,17.332610211800002,5199827.0,Europe,61.1529386,8.7876653,901265.7455979337,766930.6186885638
Oman,OMN,2015,13.4315590194,14.455601523200002,4267341.0,Asia,21.0000287,57.0036901,616869.8105961382,573170.4249740542
Pakistan,PAK,2015,11.6049599333,12.4439019055,199426953.0,Asia,30.3308401,71.247499,24816494.40444759,23143417.991851024
Palestine,PSE,2015,15.8295805252,16.2127404428,4529160.0,Asia,31.462420950000002,34.262716572130714,734300.9550391205,716947.0293151482
Panama,PAN,2015,10.6803105988,10.8072104231,3968490.0,North America,8.559559,-81.1308434,428883.06491968123,423847.05808231817
Papua New Guinea,PNG,2015,11.2175376593,11.5246507387,8107772.0,Oceania,-5.6816069,144.2489081,934392.4056901118,909492.3774301808
Paraguay,PRY,2015,12.9410666377,15.4124197421,6688746.0,South America,-23.3165935,-58.1693445,1030897.6090029241,865595.0770864933
Peru,PER,2015,11.7118762449,12.4318484422,30470739.0,South America,-6.8699697,-75.0458515,3788076.0916983276,3568695.24258648
Philippines,PHL,2015,10.4221141591,11.2512218004,102113206.0,Asia,12.7503486,122.7312101,11488983.29455936,10642354.90083695
Poland,POL,2015,11.0754087016,10.8315403732,38034076.0,Europe,52.215933,19.134422,4119676.2975135716,4212429.3628771575
Portugal,PRT,2015,13.982741701599998,16.6960878619,10368346.0,Europe,39.6621648,-8.1353519,1731108.1579857944,1449779.0399081754
Puerto Rico,PRI,2015,13.556171674600002,13.4801573024,3381512.0,North America,18.2247706,-66.4858295,455833.13679953234,458403.5719172
Qatar,QAT,2015,13.6017517334,14.6919337167,2565708.0,Asia,25.3336984,51.2295295,376952.1187240692,348981.2323639825
Romania,ROU,2015,10.7655914686,10.7940232315,19925182.0,Europe,45.9852129,24.6859225,2150728.773998657,2145063.693495023
Russia,RUS,2015,11.6078121634,11.6499561286,144985059.0,Europe,64.6863136,97.7453061,16890695.766524825,16829593.31371467
Rwanda,RWA,2015,12.011918812,13.1691641826,11369066.0,Africa,-1.9646631,30.0644358,1497210.9675681544,1365642.9776026958
Saint Lucia,LCA,2015,13.485856759,13.5028016091,179131.0,North America,13.8250489,-60.975036,24187.70355039692,24157.350070964294
Saint Vincent and the Grenadines,VCT,2015,13.4644562843,13.3761376477,109135.0,North America,12.90447,-61.2765569,14598.047821817396,14694.434365870806
Samoa,WSM,2015,10.8730850405,11.1011572282,193510.0,Oceania,-13.7693895,-172.12005,21481.84935228982,21040.506861871552
Sao Tome and Principe,STP,2015,11.4017215127,11.2452991862,199439.0,Africa,0.9713095,7.02255,22427.51224396542,22739.47936771375
Saudi Arabia,SAU,2015,13.2325968782,14.2844000541,31717676.0,Asia,25.6242618,42.3528328,4530679.727703263,4197072.20421359
Senegal,SEN,2015,11.6627524408,11.1817687426,14578450.0,Africa,14.4750607,-14.4529612,1630128.5652555695,1700248.5332058074
Serbia,SRB,2015,11.0203628756,11.3085597248,8876777.0,Europe,44.1534121,20.55144,1003835.6286823096,978253.0370577994
Seychelles,SYC,2015,10.5568847585,11.0789117491,94981.0,Africa,-4.6574977,55.4540146,10522.861168412672,10027.034712470886
Sierra Leone,SLE,2015,11.698875407,11.8115085574,7171909.0,Africa,8.6400349,-11.8400269,847110.6452639407,839032.6982134196
Singapore,SGP,2015,12.0398695872,12.8178986641,5592143.0,Asia,1.357107,103.8194992,716795.2228915617,673286.7243297338
Slovakia,SVK,2015,10.895140308,11.1754792056,5435614.0,Europe,48.7411522,19.4528646,607455.9122666824,592217.7719012912
Slovenia,SVN,2015,11.3407816329,11.7423504679,2071199.0,Europe,46.1199444,14.8153333,243207.44546764012,234890.1557728085
Solomon Islands,SLB,2015,11.2811585498,11.5438422853,603133.0,Oceania,-8.7053941,159.1070693851845,69624.72229059845,68040.38999616524
Somalia,SOM,2015,12.955105153499998,13.7326533398,13797204.0,Africa,8.3676771,49.083416,1894722.1959050193,1787442.2864429078
South Africa,ZAF,2015,12.7142635729,12.6754671573,55386369.0,Africa,-28.8166236,24.991639,7020481.012215989,7041968.9381189775
South Korea,KOR,2015,11.0387813009,12.4743398594,50823087.0,Asia,36.638392,127.6961188,6339844.59941854,5610249.42429614
South Sudan,SSD,2015,11.837445317,12.8380209048,10715657.0,Africa,7.8699431,29.6667897,1375678.2857466647,1268460.0377322827
Spain,ESP,2015,14.4526024087,17.7767935773,46671919.0,Europe,39.3260685,-4.8379791,8296770.699194659,6745306.889580513
Sri Lanka,LKA,2015,11.2096791434,11.8212343678,20908024.0,Asia,7.877395849999999,80.66247852355892,2471586.5187158724,2343722.4056250663
Sudan,SDN,2015,15.9013724436,16.2140462101,38902948.0,Africa,14.5844444,29.4917691,6307741.965811174,6186102.653020037
Suriname,SUR,2015,14.0362863323,14.7055524612,559136.0,South America,4.1413025,-56.0771187,82224.03780945523,78481.92994696893
Sweden,SWE,2015,14.0628700355,17.0809466258,9764949.0,Europe,59.6749712,14.5208584,1667945.7267265907,1373232.0869028568
Switzerland,CHE,2015,13.5408811523,16.1140837711,8296775.0,Europe,46.7985624,8.2319736,1336949.273799682,1123456.4422237384
Syria,SYR,2015,14.4107380941,15.1294280025,17997411.0,Asia,34.6401861,39.0494106,2722905.339559015,2593559.762928744
Taiwan,TWN,2015,11.6408599438,11.3486274171,23557473.0,Asia,23.9739374,120.9820179,2673449.8396539297,2742292.4382285005
Tajikistan,TJK,2015,10.6775591613,10.6767126935,8454019.0,Asia,38.6281733,70.8156541,902611.3196839018,902682.8802325426
Tanzania,TZA,2015,11.8302072101,12.8348908697,51482638.0,Africa,-6.5247123,35.7878438,6607740.404142703,6090502.752625682
Thailand,THA,2015,11.9856981808,11.6025876238,68714519.0,Asia,14.8971921,100.83273,7972662.2772477,8235914.85372847
Timor,TLS,2015,11.1664199358,12.2334489949,1196294.0,Asia,-9.346017100000001,124.63707741045215,146348.016319049,133583.21170677926
Togo,TGO,2015,11.8434651055,11.6548456353,7323162.0,Africa,8.7800265,1.0199765,853503.2267229481,867316.1360892359
Tonga,TON,2015,10.7630402518,11.1312819549,100780.0,Oceania,-19.9160819,-175.202642,11218.10595414822,10846.991965764038
Trinidad and Tobago,TTO,2015,13.8996696261,14.1402353505,1370332.0,North America,10.7466905,-61.0840075,193768.16988321365,190471.62078072864
Tunisia,TUN,2015,15.0632163925,15.4677671252,11179951.0,Africa,33.8439408,9.400138,1729288.7853914688,1684060.2117054677
Turkey,TUR,2015,14.2321320132,14.3988362569,78529413.0,Asia,38.9597594,34.9249653,11307321.59137474,11176409.727351042
Turkmenistan,TKM,2015,10.5985642757,10.6017332858,5565283.0,Asia,39.3763807,59.3924609,590016.4602599688,589840.0958796052
Uganda,UGA,2015,13.0087870254,13.8838485064,38225447.0,Africa,1.5333554,32.2166578,5307163.152374224,4972666.989737154
Ukraine,UKR,2015,12.0797714457,12.0156910625,44921636.0,Europe,49.4871968,31.2718321,5397645.0019807825,5426430.958469292
United Arab Emirates,ARE,2015,12.3067071241,12.9855150002,9262896.0,Asia,24.0002488,53.9994829,1202834.749532926,1139957.481929974
United Kingdom,GBR,2015,14.022247043800002,15.2138267127,65860149.0,Europe,54.7023545,-3.2765753,10019848.941586021,9235072.796194777
United States,USA,2015,16.2781498132,18.3043107137,320878312.0,North America,39.7837304,-100.445882,58734563.24135572,52233052.34542731
United States Virgin Islands,VIR,2015,13.6323666871,13.9189428389,104950.0,North America,17.789187,-64.7080574,14607.93050942555,14307.168838111449
Uruguay,URY,2015,13.7597028817,17.494140202,3412013.0,South America,-32.8755548,-56.0201525,596902.3379304663,469482.85108497867
Uzbekistan,UZB,2015,10.7522597607,10.6370692293,30929556.0,Asia,41.32373,63.9528098,3289998.284035112,3325626.203951172
Vanuatu,VUT,2015,11.1034285196,11.3303151459,271128.0,Oceania,-16.5255069,168.1069154,30719.656848775754,30104.503676621083
Venezuela,VEN,2015,11.1862142033,11.0028199457,30081827.0,South America,8.0018709,-66.1109318,3309849.261186968,3365017.604486135
Vietnam,VNM,2015,8.96694789667,10.3857995299,92677082.0,Asia,15.9266657,107.9650855,9625255.946681038,8310305.655094131
Yemen,YEM,2015,15.4101159012,16.2475240238,26497881.0,Asia,16.3471243,47.8915271,4305249.5812729355,4083354.1734620538
Zambia,ZMB,2015,11.9940846859,12.4494680784,15879370.0,Africa,-14.5189121,27.5589884,1976897.0992010264,1904585.085387399
Zimbabwe,ZWE,2015,12.5299542469,10.7093407337,13814642.0,Africa,-18.4554963,29.7468414,1479457.0829208281,1730968.321973031
