Entity,Code,Year,Prevalence - Depressive disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent,latitude,longitude
Guam,GUM,2015,3.12355674910361,3.58977074132205,161851.0,Oceania,13.450125700000001,144.75755102972062
Guatemala,GTM,2015,2.80666627877481,4.718330873197281,16252425.0,North America,15.5855545,-90.345759
Guinea,GIN,2015,3.3293421641766,5.41837455372594,11432096.0,Africa,10.7226226,-10.7083587
Guinea-Bissau,GNB,2015,3.41290145685893,5.55192136395977,1737207.0,Africa,11.815215,-15.2351044
Guyana,GUY,2015,4.04354369301976,6.25339571326461,767433.0,South America,4.8417097,-58.6416891
Haiti,HTI,2015,2.66033844681808,4.61748929313371,10695540.0,North America,19.1399952,-72.3570972
Honduras,HND,2015,2.48873638124985,4.004754244684349,9112904.0,North America,15.2572432,-86.0755145
Hungary,HUN,2015,2.26246173802021,3.7098567529901496,9777925.0,Europe,47.1817585,19.5060937
Iceland,ISL,2015,2.48082658854808,3.8821828535497502,330237.0,Europe,64.9841821,-18.1059013
India,IND,2015,3.22055065688206,4.39376435346894,1310152392.0,Asia,22.3511148,78.6677428
Indonesia,IDN,2015,2.05046229476351,2.88976780972759,258383257.0,Asia,-2.4833826,117.8902853
Iran,IRN,2015,3.93563811544779,6.51713924747955,78492208.0,Asia,32.6475314,54.5643516
Iraq,IRQ,2015,3.32701430152757,4.955359639904009,35572269.0,Asia,33.0955793,44.1749775
Ireland,IRL,2015,3.64568321633218,5.13515413193025,4652420.0,Europe,52.865196,-7.9794599
Israel,ISR,2015,3.5401654403279497,5.327122400758451,7978496.0,Asia,30.8124247,34.8594762
Italy,ITA,2015,2.8014018054439203,4.73313142773356,60578489.0,Europe,42.6384261,12.674297
Jamaica,JAM,2015,2.26805935083064,3.86387969667942,2891024.0,North America,18.1850507,-77.3947693
Japan,JPN,2015,1.94812076122583,2.62777198222559,127985139.0,Asia,36.5748441,139.2394179
Jordan,JOR,2015,3.1958586530326705,5.59200851446863,9266573.0,Asia,31.1667049,36.941628
Kazakhstan,KAZ,2015,2.91887758864118,4.28337984661294,17572010.0,Asia,48.1012954,66.7780818
Kenya,KEN,2015,4.1263438323690105,5.55425774262628,47878339.0,Africa,1.4419683,38.4313975
Kiribati,KIR,2015,2.6973749393114,3.33530562128136,110927.0,Oceania,0.3448612,173.6641773
Kuwait,KWT,2015,3.57287302274487,5.17641407126898,3835588.0,Asia,29.2733964,47.4979476
Kyrgyzstan,KGZ,2015,2.84352202572771,4.22705339645322,5959126.0,Asia,41.5089324,74.724091
Laos,LAO,2015,2.76490606712349,2.91841327446572,6741160.0,Asia,20.0171109,103.378253
Latvia,LVA,2015,3.45708428028459,4.48878544938215,1997675.0,Europe,56.8406494,24.7537645
Lebanon,LBN,2015,4.2301615033242,6.253721290814831,6532681.0,Asia,33.8750629,35.843409
Lesotho,LSO,2015,4.47345321359229,6.70145850939397,2059011.0,Africa,-29.6039267,28.3350193
Liberia,LBR,2015,2.71802259826931,7.12942373109574,4472229.0,Africa,5.7499721,-9.3658524
Libya,LBY,2015,3.8408153019561104,5.33002540307083,6418315.0,Africa,26.8234472,18.1236723
Lithuania,LTU,2015,3.59965962387064,4.84979214589875,2931872.0,Europe,55.3500003,23.7499997
Luxembourg,LUX,2015,2.8078296339597,4.237227175212601,566741.0,Europe,49.8158683,6.1296751
Madagascar,MDG,2015,4.07098402933032,5.54409745521277,24234080.0,Africa,-18.9249604,46.4416422
Malawi,MWI,2015,3.411377152374389,4.90330555936109,16745305.0,Africa,-13.2687204,33.9301963
Malaysia,MYS,2015,3.40524632605025,4.30354396308414,30270965.0,Asia,4.5693754,102.2656823
Maldives,MDV,2015,2.57947368871852,3.73218896610914,454914.0,Asia,3.7203503,73.2244152
Mali,MLI,2015,2.74154233398006,4.32620200078319,17438772.0,Africa,16.3700359,-2.2900239
Malta,MLT,2015,2.59255676130159,4.0532262856043095,433559.0,Europe,35.8885993,14.4476911
Marshall Islands,MHL,2015,2.58894688365615,3.38263572958569,57444.0,Oceania,8.9995549,168.0002575
Mauritania,MRT,2015,3.28450739718772,4.130358297865,4046304.0,Africa,20.2540382,-9.2399263
Mauritius,MUS,2015,3.03987091636328,4.83322432197629,1259457.0,Africa,-20.2759451,57.5703566
Mexico,MEX,2015,2.67975708492909,4.7092966472158295,121858251.0,North America,23.6585116,-102.0077097
Micronesia (country),FSM,2015,2.61259599976874,3.3853247445129604,108886.0,Oceania,14.3113868,121.0698265
Moldova,MDA,2015,2.87328371912301,3.95125911341924,4070705.0,Europe,47.2879608,28.5670941
Monaco,MCO,2015,3.53669615623546,5.32790515001578,37723.0,Europe,43.7323492,7.4276832
Mongolia,MNG,2015,3.45330375846767,4.89699914203785,2998433.0,Asia,46.8250388,103.8499736
Montenegro,MNE,2015,2.0870170417618,3.8828063790071496,626957.0,Europe,42.9868853,19.5180992
Morocco,MAR,2015,4.35832511494112,6.25641844036271,34663608.0,Africa,31.1728205,-7.3362482
Mozambique,MOZ,2015,4.32002569222944,5.66068091670742,27042001.0,Africa,-19.302233,34.9144977
Myanmar,MMR,2015,1.94135302102172,2.46963202410454,52680724.0,Asia,17.1750495,95.9999652
Namibia,NAM,2015,3.18797060838535,4.160538944175101,2314901.0,Africa,-23.2335499,17.3231107
Nauru,NRU,2015,2.76787478855755,3.74448577139231,10374.0,Oceania,-0.5252306,166.9324426
Nepal,NPL,2015,4.1073174718058905,5.7755318377474,27015033.0,Asia,28.1083929,84.0917139
Netherlands,NLD,2015,3.09266020438758,4.44348382980701,16938492.0,Europe,52.2434979,5.6343227
New Zealand,NZL,2015,3.28185783391571,4.92735036136118,4614527.0,Oceania,-41.5000831,172.8344077
Nicaragua,NIC,2015,2.7621856311820103,4.06510736372182,6223234.0,North America,12.6090157,-85.2936911
Niger,NER,2015,3.22879204681172,5.21008371302312,20001663.0,Africa,17.7356214,9.3238432
Nigeria,NGA,2015,3.09496184184342,4.56504896549825,181137454.0,Africa,9.6000359,7.9999721
Niue,NIU,2015,2.7963294299241,3.76926671590004,1610.0,Oceania,-19.0536414,-169.861341
North Korea,PRK,2015,2.05416502452525,3.5136239088764896,25183832.0,Asia,40.3736611,127.0870417
North Macedonia,MKD,2015,1.92093800130418,3.52764028905536,2079335.0,Europe,41.6171214,21.7168387
Northern Mariana Islands,MNP,2015,2.66562847172407,3.14161579555856,55779.0,Oceania,15.1753648,145.7379338
Norway,NOR,2015,2.9076155355594,3.90925664378003,5199827.0,Europe,61.1529386,8.7876653
Oman,OMN,2015,3.55486336042843,5.01811809409339,4267341.0,Asia,21.0000287,57.0036901
Pakistan,PAK,2015,3.09862676312127,4.89053606376196,199426953.0,Asia,30.3308401,71.247499
Palau,PLW,2015,2.79892551546029,3.76795243589818,17665.0,Oceania,5.3783537,132.9102573
Palestine,PSE,2015,6.74604765584282,7.02970045255135,4529160.0,Asia,31.462420950000002,34.262716572130714
Panama,PAN,2015,2.5563080301498697,3.64856131937003,3968490.0,North America,8.559559,-81.1308434
Papua New Guinea,PNG,2015,2.71302206717668,3.6114326070084495,8107772.0,Oceania,-5.6816069,144.2489081
Paraguay,PRY,2015,2.40575032350677,5.38227750870356,6688746.0,South America,-23.3165935,-58.1693445
Peru,PER,2015,1.83665422007853,2.76007433985305,30470739.0,South America,-6.8699697,-75.0458515
Philippines,PHL,2015,2.37972158662272,3.31136070673935,102113206.0,Asia,12.7503486,122.7312101
Poland,POL,2015,2.04639634376941,2.51300132788976,38034076.0,Europe,52.215933,19.134422
Portugal,PRT,2015,3.5742743259876697,5.71174587473074,10368346.0,Europe,39.6621648,-8.1353519
Puerto Rico,PRI,2015,2.5214221794452403,3.39436339824764,3381512.0,North America,18.2247706,-66.4858295
Qatar,QAT,2015,3.82449659398316,5.249464074930351,2565708.0,Asia,25.3336984,51.2295295
Romania,ROU,2015,2.11260715921623,3.47344578613932,19925182.0,Europe,45.9852129,24.6859225
Russia,RUS,2015,2.94918533584435,3.7026671692894,144985059.0,Europe,64.6863136,97.7453061
Rwanda,RWA,2015,4.02448938638324,6.15444376711854,11369066.0,Africa,-1.9646631,30.0644358
Saint Kitts and Nevis,KNA,2015,3.10885817211142,5.126194248209471,51204.0,North America,17.250512,-62.6725973
Saint Lucia,LCA,2015,2.76398966646223,4.0089389315448,179131.0,North America,13.8250489,-60.975036
Saint Vincent and the Grenadines,VCT,2015,2.90833389579807,4.0002689187688905,109135.0,North America,12.90447,-61.2765569
Samoa,WSM,2015,2.49609555498236,3.31956508590746,193510.0,Oceania,-13.7693895,-172.12005
San Marino,SMR,2015,3.53417681626204,5.32133501838156,33270.0,Europe,43.9458623,12.458306
Sao Tome and Principe,STP,2015,2.83382799997294,4.65608545305936,199439.0,Africa,0.9713095,7.02255
Saudi Arabia,SAU,2015,3.72874702068505,5.36021381480295,31717676.0,Asia,25.6242618,42.3528328
Senegal,SEN,2015,3.42412675537208,4.644803268257021,14578450.0,Africa,14.4750607,-14.4529612
Serbia,SRB,2015,2.10750165800912,3.8159799743657103,8876777.0,Europe,44.1534121,20.55144
Seychelles,SYC,2015,2.53637798770003,3.00725846195848,94981.0,Africa,-4.6574977,55.4540146
Sierra Leone,SLE,2015,3.3517658864045403,5.53370574682337,7171909.0,Africa,8.6400349,-11.8400269
Singapore,SGP,2015,1.84030053729634,2.45767798947982,5592143.0,Asia,1.357107,103.8194992
Slovakia,SVK,2015,1.96866847193839,3.7225839293254,5435614.0,Europe,48.7411522,19.4528646
Slovenia,SVN,2015,2.3577163686524303,4.34156126335838,2071199.0,Europe,46.1199444,14.8153333
Solomon Islands,SLB,2015,2.62871474345698,3.54367516538733,603133.0,Oceania,-8.7053941,159.1070693851845
Somalia,SOM,2015,3.91537565498037,5.842160539553809,13797204.0,Africa,8.3676771,49.083416
